DEPT,PS,PZ,GK,NGK,DS,LIT
826.2,61.38,6.65,12.58,1.127,0.214,18
826.4,58.82,6.39,12.05,1.16,0.219,18
826.6,59.46,7.16,11.43,1.191,0.2295,18
826.8,58.82,8.44,10.97,1.223,0.245,18
827.0,56.9,10.23,10.59,1.25,0.25,18
827.2,53.07,11.25,10.31,1.241,0.232,18
827.4,49.55,11.51,10.2,1.216,0.213,18
827.6,45.08,10.74,10.38,1.195,0.208,18
827.8,41.24,9.46,10.69,1.17,0.21,18
828.0,39.32,7.93,11.05,1.15,0.213,18
828.2,38.68,8.69,11.25,1.147,0.213,18
828.4,39.64,9.72,11.18,1.168,0.2105,18
828.6,40.92,10.74,10.82,1.202,0.206,24
828.8,42.2,11.76,10.69,1.239,0.203,24
829.0,42.52,12.28,10.77,1.264,0.203,24
829.2,40.92,11.76,10.87,1.277,0.203,24
829.4,39.96,11.25,10.77,1.269,0.203,24
829.6,43.16,11.76,10.59,1.266,0.203,24
829.8,46.67,12.53,10.31,1.279,0.203,24
830.0,49.23,13.3,10.0,1.317,0.203,24
830.2,47.63,15.35,9.69,1.363,0.204,24
830.4,43.16,17.14,9.34,1.409,0.2095,24
830.6,43.8,19.95,9.08,1.444,0.2085,91
830.8,46.03,22.25,8.87,1.455,0.202,91
831.0,49.55,25.06,8.85,1.432,0.2005,91
831.2,51.79,27.36,9.1,1.394,0.2,91
831.4,54.03,29.41,9.72,1.35,0.2005,91
831.6,54.99,28.13,9.87,1.308,0.201,91
831.8,53.39,24.55,10.28,1.281,0.201,91
832.0,50.51,18.92,10.64,1.256,0.202,91
832.2,48.59,15.6,11.0,1.231,0.203,18
832.4,49.23,12.79,11.25,1.2,0.2045,18
832.6,50.83,11.76,11.46,1.183,0.2075,18
832.8,52.75,12.53,11.74,1.191,0.206,18
833.0,54.67,13.04,11.89,1.221,0.2055,18
833.2,54.99,13.55,11.66,1.25,0.21,24
833.4,53.71,13.55,11.28,1.256,0.2045,24
833.6,50.19,12.79,10.87,1.231,0.198,24
833.8,47.31,10.74,10.66,1.2,0.1995,18
834.0,45.39,8.69,10.59,1.162,0.2,18
834.2,43.8,6.91,10.56,1.135,0.2,18
834.4,42.84,5.63,10.31,1.126,0.2,18
834.6,44.76,5.11,9.9,1.129,0.2015,18
834.8,48.27,4.86,9.9,1.131,0.204,18
835.0,51.79,4.86,9.87,1.114,0.2065,18
835.2,54.03,5.37,9.72,1.104,0.2065,18
835.4,54.03,5.63,9.59,1.097,0.204,18
835.6,49.87,5.63,9.62,1.093,0.203,18
835.8,45.39,5.37,9.8,1.106,0.2045,18
836.0,47.95,5.11,9.97,1.126,0.213,18
836.2,52.11,5.37,9.9,1.154,0.2375,18
836.4,57.86,6.14,9.77,1.187,0.2475,18
836.6,61.38,6.65,9.64,1.22,0.223,24
836.8,62.66,6.65,9.67,1.244,0.203,24
837.0,58.5,6.65,9.85,1.233,0.1995,24
837.2,57.86,5.88,10.15,1.218,0.199,18
837.4,58.5,5.63,10.54,1.204,0.199,18
837.6,57.22,5.88,10.92,1.179,0.1995,18
837.8,53.39,6.65,11.56,1.15,0.2005,18
838.0,48.91,6.91,11.69,1.126,0.2025,18
838.2,44.12,6.91,11.41,1.083,0.2045,18
838.4,40.6,6.14,11.12,1.07,0.2055,18
838.6,37.4,5.88,11.1,1.045,0.205,18
838.8,37.08,5.37,11.33,1.024,0.204,18
839.0,40.6,5.11,11.46,1.005,0.2035,18
839.2,47.31,4.86,11.18,0.991,0.2075,18
839.4,53.07,4.86,10.84,0.995,0.22,18
839.6,54.99,4.86,10.66,1.02,0.224,18
839.8,51.79,4.86,10.74,1.064,0.215,18
840.0,51.79,5.11,10.31,1.124,0.2235,18
840.2,52.11,5.37,9.74,1.175,0.2535,24
840.4,54.99,5.88,9.39,1.218,0.2875,24
840.6,57.86,6.65,8.77,1.267,0.3245,24
840.8,58.18,8.18,9.59,1.302,0.34,24
841.0,58.5,9.97,8.29,1.338,0.323,24
841.2,62.66,12.79,8.13,1.369,0.2945,24
841.4,67.45,15.35,8.13,1.35,0.262,24
841.6,71.93,18.16,7.98,1.329,0.2315,24
841.8,73.21,21.74,7.65,1.31,0.2115,24
842.0,70.65,26.85,7.26,1.321,0.205,24
842.2,65.53,32.22,6.96,1.331,0.205,24
842.4,60.74,37.34,6.78,1.308,0.205,53
842.6,56.58,43.22,6.78,1.287,0.205,53
842.8,52.75,48.08,6.96,1.264,0.2045,53
843.0,49.87,52.17,7.26,1.239,0.204,53
843.2,47.63,54.22,7.75,1.227,0.2035,18
843.4,45.39,52.94,8.13,1.235,0.203,18
843.6,43.48,49.87,8.69,1.216,0.203,18
843.8,43.16,44.76,9.23,1.198,0.202,18
844.0,42.52,38.36,9.74,1.2,0.201,18
844.2,42.52,31.97,10.23,1.21,0.2005,18
844.4,42.84,26.85,10.72,1.216,0.2,18
844.6,44.76,21.74,11.07,1.197,0.2,18
844.8,48.59,17.39,11.41,1.183,0.2,18
845.0,52.75,13.3,11.48,1.162,0.2,18
845.2,56.58,10.48,11.33,1.145,0.2,18
845.4,57.54,8.44,11.02,1.133,0.2,18
845.6,54.03,7.42,10.66,1.122,0.2005,18
845.8,51.79,7.16,10.23,1.118,0.202,18
846.0,52.75,8.18,9.9,1.124,0.206,18
846.2,55.62,9.21,9.44,1.141,0.2145,53
846.4,61.7,11.25,9.0,1.164,0.2255,53
846.6,68.09,13.3,8.39,1.191,0.224,53
846.8,71.29,18.41,7.8,1.22,0.2105,53
847.0,69.69,26.09,7.44,1.25,0.2045,53
847.2,63.94,34.27,7.31,1.279,0.2055,53
847.4,59.78,40.92,7.54,1.298,0.2055,53
847.6,55.3,42.45,8.11,1.321,0.2055,53
847.8,53.07,35.04,8.67,1.312,0.2055,53
848.0,51.47,29.67,9.23,1.291,0.205,53
848.2,50.19,21.99,9.8,1.246,0.204,18
848.4,49.23,17.9,10.31,1.204,0.2045,18
848.6,47.63,16.37,10.84,1.185,0.205,18
848.8,45.08,16.11,10.82,1.185,0.206,18
849.0,42.2,16.37,10.92,1.204,0.218,18
849.2,40.92,18.41,10.97,1.231,0.243,24
849.4,40.92,21.74,11.2,1.277,0.209,24
849.6,42.52,26.34,11.2,1.315,0.2024,24
849.8,45.39,31.97,11.0,1.363,0.202,24
850.0,51.15,36.06,10.97,1.411,0.2023,24
850.2,53.07,40.66,10.9,1.442,0.1997,24
850.4,57.22,44.76,10.28,1.457,0.198,24
850.6,59.78,49.1,10.02,1.452,0.1968,24
850.8,61.38,51.4,9.39,1.448,0.1962,24
851.0,61.06,50.13,8.87,1.457,0.196,24
851.2,58.18,47.31,8.39,1.469,0.196,24
851.4,55.3,43.48,7.93,1.478,0.1965,24
851.6,52.11,40.92,7.54,1.471,0.197,24
851.8,50.19,39.9,7.06,1.465,0.197,24
852.0,48.27,43.99,6.65,1.48,0.1965,24
852.2,46.67,45.01,6.22,1.503,0.1965,24
852.4,46.35,48.59,5.91,1.526,0.1965,24
852.6,47.95,51.92,5.68,1.549,0.195,24
852.8,50.83,55.5,5.5,1.561,0.1945,24
853.0,53.39,57.8,5.32,1.551,0.195,91
853.2,58.18,59.59,5.42,1.521,0.1955,91
853.4,58.5,58.31,5.55,1.505,0.1955,91
853.6,60.1,56.01,5.8,1.501,0.1945,91
853.8,60.42,53.71,5.93,1.496,0.1945,91
854.0,59.78,51.15,6.09,1.477,0.1955,91
854.2,58.82,49.61,6.06,1.459,0.196,91
854.4,57.86,50.13,5.83,1.455,0.1955,91
854.6,56.58,51.92,5.6,1.463,0.196,91
854.8,56.26,54.73,5.57,1.471,0.199,91
855.0,56.26,57.8,5.63,1.475,0.202,91
855.2,56.9,63.17,5.52,1.473,0.204,91
855.4,57.54,66.49,5.42,1.478,0.2005,91
855.6,57.54,69.82,5.47,1.494,0.196,91
855.8,57.54,73.91,5.68,1.501,0.196,91
856.0,56.9,74.17,5.91,1.492,0.196,91
856.2,55.94,74.68,5.96,1.484,0.196,91
856.4,53.71,73.65,5.73,1.49,0.196,91
856.6,53.39,73.65,5.47,1.501,0.196,91
856.8,53.39,74.17,5.45,1.509,0.196,91
857.0,54.03,72.89,5.47,1.515,0.1965,91
857.2,55.62,71.1,5.42,1.536,0.197,91
857.4,56.9,68.54,5.24,1.546,0.197,91
857.6,58.18,65.47,5.14,1.561,0.197,91
857.8,59.14,62.15,5.19,1.553,0.197,91
858.0,58.82,59.84,5.32,1.542,0.198,91
858.2,57.54,56.52,5.42,1.53,0.199,91
858.4,56.9,54.22,5.32,1.532,0.199,91
858.6,55.94,52.17,5.17,1.525,0.199,91
858.8,55.94,49.61,5.22,1.517,0.1995,91
859.0,56.58,45.78,5.24,1.511,0.2,91
859.2,57.22,44.24,5.17,1.513,0.2,91
859.4,57.54,41.94,5.09,1.503,0.1995,91
859.6,58.18,40.92,5.14,1.49,0.199,91
859.8,58.18,39.9,5.27,1.471,0.1995,91
860.0,57.22,40.66,5.27,1.446,0.2,91
860.2,55.3,41.43,5.17,1.411,0.2,91
860.4,53.39,43.99,5.19,1.356,0.2,53
860.6,51.15,47.82,5.27,1.333,0.2,53
860.8,49.23,51.4,5.4,1.304,0.2005,53
861.0,47.63,54.99,5.5,1.287,0.201,53
861.2,45.71,57.8,5.42,1.291,0.201,53
861.4,44.12,60.35,5.34,1.298,0.201,53
861.6,42.52,62.66,5.4,1.31,0.201,53
861.8,41.24,64.96,5.47,1.319,0.201,53
862.0,40.28,67.77,5.5,1.325,0.201,53
862.2,39.32,70.33,5.6,1.317,0.201,53
862.4,38.68,73.14,5.55,1.31,0.201,53
862.6,38.36,75.19,5.29,1.319,0.201,53
862.8,38.04,75.96,5.14,1.327,0.201,53
863.0,37.72,76.72,5.27,1.321,0.201,53
863.2,37.72,75.7,5.4,1.315,0.201,53
863.4,37.72,73.4,5.52,1.329,0.201,53
863.6,37.72,69.82,5.52,1.354,0.201,53
863.8,37.72,63.17,5.45,1.363,0.201,53
864.0,38.68,56.52,5.55,1.373,0.201,53
864.2,39.96,49.61,5.63,1.375,0.201,53
864.4,41.88,45.01,5.5,1.384,0.201,53
864.6,43.8,40.41,5.27,1.39,0.201,53
864.8,46.03,39.13,5.04,1.379,0.201,53
865.0,47.63,37.59,4.73,1.363,0.201,53
865.2,46.99,39.9,4.55,1.342,0.201,53
865.4,45.71,42.71,4.58,1.333,0.201,53
865.6,44.12,47.31,4.71,1.337,0.2005,53
865.8,41.88,51.92,4.86,1.34,0.2,53
866.0,39.64,57.03,5.04,1.333,0.2,53
866.2,38.68,61.89,5.14,1.323,0.2,53
866.4,37.4,67.0,5.11,1.312,0.2,53
866.6,36.44,69.56,4.91,1.304,0.2,53
866.8,35.48,71.61,4.81,1.31,0.2,53
867.0,35.17,71.1,4.94,1.314,0.2,53
867.2,35.17,69.31,5.06,1.306,0.2,53
867.4,35.48,66.49,5.14,1.292,0.2,53
867.6,35.48,62.15,5.09,1.281,0.2,53
867.8,35.8,49.36,5.01,1.275,0.2,53
868.0,35.8,46.29,5.14,1.271,0.2,53
868.2,35.17,36.31,5.17,1.277,0.2,53
868.4,34.21,30.18,4.99,1.294,0.2,53
868.6,33.25,27.36,4.83,1.315,0.2015,53
868.8,33.25,31.97,4.83,1.346,0.202,53
869.0,33.25,36.06,4.78,1.373,0.201,53
869.2,33.57,44.5,4.71,1.402,0.201,53
869.4,33.89,49.87,4.83,1.431,0.201,53
869.6,34.85,56.01,4.96,1.452,0.201,53
869.8,35.8,61.12,5.17,1.478,0.201,53
870.0,36.76,62.66,5.34,1.505,0.201,53
870.2,37.72,67.0,5.42,1.521,0.2005,53
870.4,38.36,69.31,5.24,1.528,0.2,53
870.6,39.0,71.35,4.94,1.515,0.2,53
870.8,39.64,72.12,4.89,1.498,0.2,53
871.0,39.96,72.12,4.81,1.484,0.2,53
871.2,40.28,72.12,4.53,1.467,0.2,53
871.4,39.64,71.61,4.42,1.454,0.2,53
871.6,38.36,71.1,4.53,1.448,0.2,53
871.8,36.76,71.35,4.63,1.431,0.2,53
872.0,35.48,71.1,4.47,1.425,0.1995,53
872.2,34.21,70.07,4.42,1.411,0.199,53
872.4,33.25,68.54,4.47,1.406,0.199,53
872.6,32.93,66.24,4.68,1.402,0.199,53
872.8,32.29,62.91,4.81,1.415,0.198,53
873.0,31.65,60.1,5.14,1.434,0.197,53
873.2,31.65,56.52,5.29,1.454,0.197,53
873.4,31.33,53.19,5.47,1.455,0.197,53
873.6,31.33,49.36,5.37,1.45,0.198,53
873.8,31.33,45.52,5.06,1.457,0.199,53
874.0,31.97,41.69,4.86,1.48,0.1995,53
874.2,31.97,39.64,4.89,1.509,0.2,53
874.4,32.61,40.41,4.76,1.551,0.2,53
874.6,33.57,43.73,4.58,1.578,0.1995,53
874.8,34.85,48.08,4.63,1.603,0.199,91
875.0,36.12,53.96,4.76,1.63,0.199,91
875.2,36.76,67.0,4.83,1.655,0.198,91
875.4,37.72,73.01,4.83,1.682,0.197,91
875.6,38.04,75.44,4.78,1.697,0.198,53
875.8,38.68,85.67,4.91,1.688,0.2,53
876.0,38.68,95.9,4.99,1.67,0.2025,53
